SPCD,COMMON_NAME,GENUS,MYCO_ASSO,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_SRS,SFTWD_HRDWD,EAST,WEST,CARIBBEAN,ref
758,screwbean mesquite,Prosopis,AM,pubescens,,,PRPU,48,,,4,38,157,,,X,H,E,W,,10.1111/nph.12221
760,cherry and plum spp.,Prunus,AM,spp.,,,PRUNU,43,54,,4,37,221,X,X,X,H,E,W,C,10.1111/nph.12221
761,pin cherry,Prunus,AM,pensylvanica,,,PRPE2,43,,,3,25,154,X,X,X,H,E,W,,10.1111/nph.12221
762,black cherry,Prunus,AM,serotina,,,PRSE2,41,,,3,33,121,X,X,X,H,E,,,10.1111/nph.12221
763,chokecherry,Prunus,AM,virginiana,,,PRVI,43,,,4,25,221,X,X,X,H,E,W,,10.1111/nph.12221
764,peach,Prunus,AM,persica,,,PRPE3,43,,,3,25,221,X,X,X,H,E,,,10.1111/nph.12221
765,Canada plum,Prunus,AM,nigra,,,PRNI,43,,,4,25,221,X,X,X,H,E,,,10.1111/nph.12221
766,American plum,Prunus,AM,americana,,,PRAM,43,,,4,25,221,X,X,X,H,E,,,10.1111/nph.12221
769,Allegheny plum,Prunus,AM,alleghaniensis,,,PRAL5,43,,,3,33,221,X,X,X,H,E,,,10.1111/nph.12221
770,Chickasaw plum,Prunus,AM,angustifolia,,,PRAN3,43,,,3,33,221,X,X,X,H,E,W,,10.1111/nph.12221
771,"sweet cherry, domesticated",Prunus,AM,avium,,,PRAV,43,,,3,33,221,X,X,X,H,E,,,10.1111/nph.12221
772,"sour cherry, domesticated",Prunus,AM,cerasus,,,PRCE,43,,,3,33,221,X,X,,H,E,,,10.1111/nph.12221
773,"European plum, domesticated",Prunus,AM,domestica,,,PRDO,43,,,3,33,221,X,X,,H,E,,,10.1111/nph.12221
774,"Mahaleb cherry, domesticated",Prunus,AM,mahaleb,,,PRMA,43,,,3,33,221,X,X,,H,E,,,10.1111/nph.12221
852,sea torchwood,Amyris,AM,elemifera,,,AMEL,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
853,pond-apple  ,Annona,AM,glabra,,,ANGL4,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
854,gumbo limbo  ,Bursera,AM,simaruba,,,BUSI,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
858,camphortree,Cinnamomum,AM,camphora,,,CICA,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
859,Florida fiddlewood,Citharexylum,AM,fruticosum,,,CIFR,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
860,citrus spp.,Citrus,AM,spp.,,,CITRU2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
863,"tietongue, pigeon-plum",Coccoloba,AM,diversifolia,,,CODI8,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
864,soldierwood,Colubrina,AM,elliptica,,,COEL2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
865,largeleaf geigertree,Cordia,AM,sebestena,,,COSE2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
866,carrotwood,Cupaniopsis,AM,anacardioides,,,CUAN4,43,,,3,37,227,,,X,H,E,,,10.1111/nph.12221
867,Bluewood,Condalia,AM,hookeri,,,COHO,48,,,4,29,160,,,X,H,E,,,10.1111/nph.12221
868,Blackbead ebony,Ebenopsis,AM,ebano,,,EBEB,42,,,4,29,122,,,X,H,E,,,10.1111/nph.12221
869,Great leucaene,Leucaena,AM,pulverulenta,,,LEPU3,43,,,3,36,221,,,X,H,E,,,10.1111/nph.12221
870,Texas sophora,Sophora,AM,affinis,,,SOAF,42,,,4,29,221,,,X,H,E,,,10.1111/nph.12221
873,red stopper,Eugenia,AM,rhombea,,,EURH,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
874,"butterbough, inkwood",Exothea,AM,paniculata,,,EXPA,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
876,Florida strangler fig,Ficus,AM,aurea,,,FIAU,43,,,3,37,227,,,X,H,E,,,10.1111/nph.12221
877,"wild banyantree, shortleaf fig",Ficus,AM,citrifolia,,,FICI,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
883,manchineel,Hippomane,AM,mancinella,,,HIMA2,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
884,false tamarind,Lysiloma,AM,latisiliquum,,,LYLA3,43,54,,3,37,227,,,X,H,E,,C,10.1111/nph.12221
